"A相电压","A相电流","总有功功率","A相有功功率","A相视在功率","A相功率因素","工件质量","工件质量1"
"237.51","1.104","406","130","262","0.497","0.663","0.749"
"237.44","1.104","406","130","262","0.496","0.478","0.656"
"237.49","1.104","405","129","262","0.496","0.404","0.034"
"237.4","1.104","406","130","262","0.497","0.585","0.203"
"237.55","1.104","406","130","262","0.497","0.711","0.91"
"237.4","1.104","405","129","261","0.497","0.802","0.943"
"237.4","1.104","406","130","261","0.498","0.874","0.986"
"237.38","1.104","403","129","261","0.496","0.968","0.099"
"237.35","1.104","406","130","261","0.498","0.216","0.537"
"237.46","1.104","406","130","262","0.498","0.176","0.388"
"237.44","1.104","405","130","261","0.498","0.233","0.329"
"237.4","1.104","406","130","261","0.498","0.634","0.481"
"237.38","1.104","406","130","261","0.499","0.474","0.416"
"237.44","1.104","407","130","262","0.499","0.468","0.641"
"237.4","1.104","406","130","261","0.5","0.919","0.954"
"237.49","1.104","407","130","262","0.499","0.192","0.846"
"237.6","1.104","406","130","262","0.498","0.201","0.37"
"237.71","1.11","406","130","264","0.497","0.429","0.31"
"237.64","1.11","406","130","264","0.498","0.544","0.443"
"237.6","1.104","407","130","262","0.497","0.43","0.282"
"237.62","1.11","406","130","262","0.498","0.52","0.082"
"237.6","1.104","406","130","262","0.498","0.308","0.564"
"237.49","1.104","407","130","262","0.498","0.981","0.573"
"237.42","1.104","407","130","261","0.499","0.979","0.172"
"237.57","1.104","407","130","262","0.497","0.953","0.143"
"237.55","1.104","407","130","262","0.499","0.83","0.198"
"237.49","1.104","406","130","262","0.498","0.29","0.562"
"237.49","1.104","407","130","262","0.498","0.962","0.216"
"237.51","1.104","406","130","262","0.498","0.938","0.394"
"237.4","1.104","407","130","261","0.499","0.804","0.321"
"237.31","1.098","407","130","261","0.499","0.207","0.425"
"237.4","1.104","406","130","261","0.499","0.621","0.161"
"237.11","1.098","403","129","260","0.498","0.486","0.528"
"237.05","1.098","407","129","260","0.499","0.565","0.159"
"237.29","1.098","407","130","261","0.501","0.367","0.21"
"237.38","1.104","407","130","261","0.499","0.14","0.575"
"237.29","1.098","405","129","261","0.499","0.598","0.243"
"237.22","1.098","405","129","260","0.499","0.57","0.49"
"237.27","1.098","407","129","261","0.499","0.055","0.719"
"237.13","1.098","405","129","260","0.501","0.566","0.128"
"237.13","1.092","405","129","260","0.5","0.665","0.484"
"236.91","1.092","406","129","258","0.501","0.626","0.036"
"237.16","1.092","406","130","260","0.503","0.137","0.725"
"237.16","1.098","407","130","260","0.502","0.808","0.52"
"237.18","1.092","405","129","260","0.501","0.627","0.424"
"237.4","1.098","406","130","261","0.501","0.713","0.56"
"237.46","1.104","406","130","261","0.5","0.683","0.53"
"237.29","1.098","406","130","260","0.501","0.276","0.969"
"237.27","1.098","406","130","260","0.501","0.33","0.254"
"237.22","1.098","406","130","260","0.501","0.824","0.363"
"237.31","1.098","406","130","261","0.501","0.131","0.054"
"237.16","1.092","406","129","260","0.501","0.181","0.18"
"237.31","1.098","407","130","261","0.501","0.511","0.74"
"236.96","1.092","404","129","258","0.503","0.015","0.159"
"237.13","1.098","407","130","260","0.501","0.54","0.574"
"237.2","1.098","407","130","260","0.502","0.656","0.394"
"237.29","1.098","407","130","260","0.501","0.659","0.249"
"237.31","1.098","407","130","260","0.501","0.326","0.061"
"237.27","1.092","406","130","258","0.502","0.652","0.56"
"237.02","1.092","406","129","258","0.502","0.285","0.616"
"237.24","1.098","407","130","260","0.502","0.466","0.4"
"237.31","1.098","407","130","261","0.5","0.477","0.15"
"237.35","1.098","407","130","261","0.5","0.986","0.552"
"237.22","1.098","405","130","260","0.501","0.5","0.31"
"237.31","1.098","407","130","260","0.501","0.54","0.894"
"237.27","1.098","406","130","260","0.501","0.203","0.541"
"237.35","1.098","407","130","260","0.501","0.394","0.02"
"237.2","1.092","405","129","260","0.501","0.36","0.479"
"236.96","1.092","405","129","258","0.503","0.616","0.333"
"237.07","1.092","407","130","258","0.503","0.003","0.231"
"237.29","1.098","405","130","260","0.501","0.168","0.154"
"237.22","1.098","407","130","260","0.502","0.828","0.078"
"236.94","1.092","405","129","258","0.504","0.639","0.928"
"236.87","1.086","406","130","257","0.506","0.71","0.404"
"237.05","1.092","406","130","258","0.502","0.634","0.238"
"237.16","1.098","407","130","260","0.503","0.041","0.977"
"237.27","1.098","406","130","260","0.503","0.303","0.171"
"237.27","1.098","406","130","260","0.502","0.391","0.922"
"237.11","1.092","406","130","260","0.502","0.044","0.101"
"237.07","1.098","406","130","260","0.502","0.05","0.736"
"237.09","1.098","407","130","260","0.501","0.118","0.377"
"237.09","1.098","407","130","260","0.502","0.441","0.68"
"237.11","1.098","406","130","260","0.502","0.85","0.266"
"237","1.092","406","130","260","0.503","0.926","0.29"
"237.11","1.098","406","130","260","0.502","0.079","0.653"
"237.13","1.098","406","130","260","0.5","0.619","0.397"
"237.13","1.098","406","130","260","0.502","0.857","0.023"
"237.24","1.098","406","130","261","0.501","0.426","0.924"
"237.24","1.098","406","130","261","0.501","0.561","0.554"
"237.22","1.098","405","130","261","0.501","0.529","0.995"
"237.2","1.098","407","130","261","0.502","0.959","0.315"
"237.11","1.098","406","130","260","0.502","0.209","0.589"
"237.22","1.098","407","130","261","0.501","0.169","0.002"
"237.29","1.098","406","130","261","0.501","0.218","0.24"
"237.2","1.098","405","130","261","0.501","0.582","0.197"
"237.16","1.098","406","130","260","0.501","0.254","0.263"
"237.33","1.104","407","130","261","0.5","0.527","0.723"
"237.27","1.104","406","130","261","0.5","0.874","0.829"
"237.29","1.104","406","130","261","0.501","0.786","0.973"
"237.38","1.104","407","130","262","0.5","0.307","0.378"
"237.35","1.104","406","130","262","0.5","0.179","0.972"
"237.46","1.104","407","130","262","0.499","0.972","0.728"
"237.35","1.104","406","130","262","0.499","0.323","0.722"
"237.33","1.104","406","130","261","0.499","0.701","0.428"
"237.33","1.104","406","130","261","0.499","0.533","0.972"
"237.33","1.104","406","130","261","0.499","0.565","0.578"
"237.4","1.104","406","130","262","0.498","0.226","0.974"
"237.38","1.104","406","130","262","0.498","0.436","0.134"
"237.35","1.104","406","130","262","0.498","0.502","0.747"
"237.33","1.104","406","130","261","0.499","0.201","0.335"
"237.35","1.104","406","130","262","0.497","0.499","0.435"
"237.2","1.104","406","130","261","0.498","0.893","0.169"
"237.2","1.104","405","129","261","0.498","0.965","0.54"
"237.27","1.104","407","130","261","0.498","0.149","0.192"
"237.2","1.104","406","130","261","0.498","0.85","0.342"
"237.09","1.098","406","129","261","0.499","0.804","0.134"
"237.16","1.098","406","130","261","0.499","0.469","0.644"
"237.18","1.104","407","130","261","0.5","0.932","0.819"
"236.98","1.098","405","129","260","0.501","0.252","0.161"
"236.98","1.098","405","129","260","0.5","0.464","0.348"
"237.09","1.098","406","130","261","0.499","0.563","0.256"
"236.96","1.098","406","129","260","0.5","0.425","0.236"
"237.07","1.098","405","129","260","0.499","0.437","0.414"
"237.07","1.098","405","129","260","0.499","0.911","0.359"
"237.24","1.104","406","130","261","0.499","0.242","0.555"
"237.27","1.104","406","130","261","0.499","0.476","0.698"
"237.29","1.104","406","130","262","0.498","0.654","0.824"
"237.24","1.104","406","130","261","0.499","0.841","0.028"
"237.35","1.104","406","130","262","0.499","0.244","0.668"
"237.33","1.104","406","130","261","0.499","0.696","0.257"
"237.42","1.11","406","130","262","0.498","0.749","0.279"
"237.38","1.104","408","130","262","0.497","0.656","0.625"
"237.38","1.104","406","130","262","0.497","0.034","0.289"
"237.27","1.104","406","130","262","0.499","0.203","0.569"
"237.33","1.104","406","130","262","0.498","0.91","0.978"
"237.38","1.104","406","130","262","0.497","0.943","0.184"
"237.35","1.104","406","130","262","0.498","0.986","0.984"
"237.35","1.104","406","130","262","0.497","0.099","0.368"
"237.49","1.11","408","130","264","0.496","0.537","0.89"
"237.44","1.11","408","130","262","0.496","0.388","0.346"
"237.46","1.11","408","130","262","0.497","0.329","0.06"
"237.46","1.104","406","130","262","0.496","0.481","0.259"
"237.4","1.104","408","130","262","0.497","0.416","0.119"
"237.38","1.104","408","130","262","0.497","0.641","0.816"
"237.31","1.104","405","129","261","0.497","0.954","0.723"
"237.33","1.104","406","130","262","0.497","0.846","0.168"
"237.24","1.104","407","129","261","0.498","0.37","0.672"
"237.18","1.098","405","129","261","0.498","0.31","0.855"
"237.27","1.104","408","130","262","0.497","0.443","0.26"
"237.22","1.104","407","129","261","0.497","0.282","0.736"
"237.24","1.104","407","129","261","0.497","0.082","0.898"
"237.07","1.098","405","129","260","0.497","0.564","0.284"
"237.11","1.104","407","129","261","0.497","0.573","0.727"
"237.27","1.104","407","129","261","0.497","0.172","0.78"
"237.05","1.098","405","129","260","0.498","0.143","0.72"
"237.16","1.104","407","129","261","0.497","0.198","0.261"
"237.18","1.098","405","129","261","0.498","0.562","0.145"
"237.29","1.104","408","130","261","0.498","0.216","0.942"
"237.31","1.104","407","129","261","0.497","0.394","0.277"
"237.35","1.104","407","129","261","0.497","0.321","0.556"
"237.35","1.104","407","129","261","0.496","0.425","0.95"
"237.27","1.104","405","129","261","0.496","0.161","0.082"
"237.35","1.104","406","130","262","0.497","0.528","0.559"
"237.4","1.104","407","129","261","0.496","0.159","0.552"
"237.38","1.104","405","129","261","0.496","0.21","0.079"
"237.35","1.104","407","129","261","0.496","0.575","0.244"
"237.29","1.104","407","129","261","0.497","0.243","0.696"
"237.27","1.098","405","129","261","0.497","0.49","0.749"
"237.13","1.098","407","129","261","0.498","0.719","0.656"
"237.18","1.098","407","129","261","0.498","0.128","0.034"
"237.11","1.098","405","129","260","0.498","0.484","0.203"
"237.11","1.098","407","129","260","0.498","0.036","0.91"
"237.07","1.098","405","129","260","0.498","0.725","0.943"
"237.27","1.098","407","129","261","0.497","0.52","0.986"
"237.33","1.104","407","129","261","0.497","0.424","0.099"
"237.24","1.104","407","129","261","0.498","0.56","0.537"
"237.31","1.104","407","129","261","0.496","0.53","0.388"
"237.27","1.104","405","129","261","0.497","0.969","0.329"
"237.31","1.098","407","129","261","0.498","0.254","0.481"
"237.31","1.104","408","130","261","0.498","0.363","0.416"
"237.27","1.098","403","129","260","0.499","0.054","0.641"
"237.29","1.098","408","130","261","0.5","0.18","0.954"
"237.33","1.098","407","129","261","0.498","0.74","0.846"
"237.22","1.098","403","129","260","0.499","0.159","0.37"
"237.29","1.098","407","129","261","0.499","0.574","0.31"
"237","1.092","405","129","260","0.499","0.394","0.443"
"236.94","1.092","405","129","258","0.499","0.249","0.282"
"237.07","1.098","407","129","260","0.499","0.061","0.082"
"237.05","1.092","407","129","260","0.5","0.56","0.564"
"237.13","1.098","405","129","260","0.499","0.616","0.573"
"237.18","1.098","405","129","260","0.499","0.4","0.172"
"237.16","1.098","407","129","260","0.498","0.15","0.143"
"237.29","1.098","405","129","261","0.499","0.552","0.198"
"237.24","1.098","407","129","260","0.498","0.31","0.562"
"237.29","1.098","407","129","261","0.499","0.894","0.216"
"237.2","1.098","405","129","260","0.499","0.541","0.394"
"237.16","1.098","405","129","260","0.5","0.02","0.321"
"237.16","1.092","405","129","260","0.501","0.479","0.425"
"237.11","1.092","406","129","258","0.501","0.333","0.161"
"237.13","1.092","405","129","260","0.501","0.231","0.528"
"237.09","1.092","406","129","258","0.501","0.154","0.159"
"237.09","1.092","405","129","260","0.5","0.078","0.21"
"237.13","1.098","406","129","260","0.5","0.928","0.575"
"237.16","1.092","405","129","260","0.501","0.404","0.243"
"237.13","1.092","405","129","260","0.501","0.238","0.49"
"237.09","1.092","405","129","258","0.501","0.977","0.719"
"237.05","1.092","406","129","260","0.501","0.171","0.128"
"237.05","1.092","405","129","258","0.501","0.922","0.484"
"237.05","1.092","405","129","258","0.501","0.101","0.036"
"237.02","1.092","405","129","258","0.501","0.736","0.725"
"236.87","1.092","406","129","258","0.502","0.377","0.52"
"236.96","1.092","406","129","258","0.502","0.68","0.424"
"237.05","1.092","406","129","258","0.501","0.266","0.56"
"236.91","1.092","406","129","258","0.501","0.29","0.53"
